Age,Department,Distance_From_Home,Years_At_Company,Average_Monthly_Hours,Number_Of_Projects,Satisfaction_Level,Last_Evaluation,Salary,Attrition
29,Engineering,27,4,185,5,0.89,0.74,10891.57,0
33,Sales,25,5,164,4,0.8,0.38,8639.28,0
55,Sales,5,8,135,6,0.78,0.59,13262.78,0
54,Marketing,15,5,246,4,0.21,0.94,12341.59,1
44,Marketing,22,6,167,2,0.99,0.86,11568.05,0
45,IT,16,7,199,6,0.79,0.74,13727.93,0
58,Sales,4,9,277,2,0.21,0.99,15096.37,1
56,Sales,14,5,145,2,0.61,0.39,12251.99,0
43,Sales,24,5,260,2,0.18,0.91,11828.44,1
48,Marketing,17,5,191,6,0.95,0.73,11683.26,0
56,Engineering,17,3,232,6,0.22,0.88,13100.7,1
22,HR,21,3,175,5,0.93,0.99,9251.64,0
56,Marketing,16,0,229,3,0.24,0.88,11709.39,0
58,Sales,26,2,167,4,0.81,0.72,11533.82,0
35,Marketing,9,0,216,4,0.76,0.94,9206.44,0
24,IT,2,6,199,2,0.94,0.85,11946.86,0
22,Sales,11,4,152,6,0.79,0.77,8745.37,0
26,IT,15,5,171,6,0.92,0.71,10888.91,0
47,Sales,3,3,238,2,0.38,0.9,11363.86,0
35,Marketing,24,5,117,3,0.71,0.56,10456.81,0
48,Engineering,16,2,229,4,0.16,0.88,12797.78,1
30,HR,21,6,192,5,0.8,0.9,10716.01,0
36,IT,19,6,116,3,0.62,0.36,12373.71,1
36,Marketing,22,2,210,6,0.82,0.98,9957.41,0
47,Engineering,6,2,157,2,0.78,0.74,11800.95,0
34,Marketing,14,8,243,4,0.12,0.86,12033.21,1
53,IT,5,5,243,2,0.33,0.8,14021.8,1
53,HR,5,3,307,6,0.27,0.88,11657.16,1
25,Marketing,6,4,155,2,0.69,0.39,8297.13,0
51,Sales,18,2,244,4,0.32,0.97,11011.55,1
58,Engineering,22,5,265,2,0.27,0.87,14659.66,1
44,Marketing,18,7,151,4,0.74,0.88,11522.89,0
36,Engineering,19,5,182,2,0.84,0.94,12819.18,0
50,Sales,2,12,186,2,0.78,0.33,12996.95,0
57,HR,17,6,158,4,0.84,0.49,11780.46,0
34,HR,28,6,215,2,0.15,0.94,11632.69,1
53,Sales,1,2,161,3,0.9,0.76,12557.88,0
28,Engineering,9,4,154,5,0.88,0.97,11666.58,0
43,Marketing,13,3,285,3,0.36,0.85,10758.02,0
49,Sales,4,0,261,5,0.39,0.92,10265.45,1
23,IT,5,5,166,3,0.71,0.95,11321.04,0
27,Engineering,26,3,206,5,0.7,0.9,11212.64,0
49,HR,23,3,218,2,0.31,0.87,11540.44,0
49,Sales,18,6,191,4,0.73,0.72,12589.51,0
41,HR,28,7,200,4,0.82,0.45,11862.79,0
51,Engineering,27,4,167,6,0.73,0.42,12009.01,0
32,HR,10,5,145,5,0.95,0.83,10511.79,0
49,Sales,25,7,190,6,0.71,0.72,11493.04,0
46,Engineering,28,4,150,6,0.81,0.32,11535.53,0
54,IT,4,6,187,5,0.76,0.93,14922.73,0
22,Sales,26,0,171,4,0.79,0.31,6793.6,1
48,Marketing,26,1,197,5,0.95,0.94,10167.52,0
34,Sales,13,7,129,2,0.66,0.31,10649.15,0
24,Engineering,13,1,161,6,0.76,0.75,9435.56,0
27,Sales,17,6,144,6,0.85,0.84,10611.5,0
29,IT,8,5,218,5,0.18,0.81,11768.01,1
48,IT,4,4,211,6,0.79,0.96,13003.6,0
30,Marketing,23,3,157,4,0.92,0.96,10249.11,0
58,HR,3,8,179,6,0.91,0.76,13882.95,0
54,Engineering,11,10,247,5,0.23,0.81,15613.52,1
45,Engineering,12,6,182,4,0.97,0.96,13484.46,0
36,HR,9,6,204,4,0.84,0.92,10695.26,0
53,IT,15,3,259,6,0.23,0.96,13404.98,1
53,IT,13,1,120,5,0.84,0.98,12844.36,0
45,Sales,5,5,228,6,0.34,0.96,12354.44,1
33,Marketing,5,2,260,2,0.27,0.84,8747.43,1
23,Marketing,19,0,149,2,0.83,0.54,8122.06,0
24,Marketing,11,6,170,4,0.61,0.44,9843.51,0
58,Sales,9,8,189,6,0.71,0.96,13790.96,0
38,Marketing,3,2,226,2,0.26,0.84,10779.71,0
23,HR,18,5,160,3,0.86,0.72,8728.22,0
23,Sales,27,5,242,2,0.15,0.96,10288.64,1
49,HR,13,6,239,6,0.24,0.9,12097.02,1
44,Sales,25,1,260,6,0.33,0.89,10995.65,0
58,Marketing,28,4,175,2,0.63,0.35,10975.1,1
53,HR,12,9,190,6,0.83,0.82,14179.56,0
54,HR,9,6,211,6,0.82,0.75,13346.75,0
22,HR,10,4,190,3,0.77,0.87,8410.51,0
40,Sales,28,6,196,4,0.15,0.93,12543.79,0
23,Engineering,13,2,158,6,0.86,0.38,9664.01,0
47,Marketing,20,3,149,5,0.7,0.48,9558.03,0
53,HR,20,6,168,4,0.63,0.48,11818.63,0
27,Engineering,13,7,263,4,0.31,0.92,12654.69,1
53,Marketing,27,8,179,5,0.83,0.96,13976.58,0
25,Marketing,26,2,162,2,0.88,0.47,8105.89,0
32,HR,29,6,181,3,0.86,0.84,11136.67,0
38,HR,29,9,117,6,0.71,0.43,10932.08,0
59,Sales,22,2,228,2,0.39,0.87,12263.79,0
45,Engineering,9,9,177,5,0.71,0.93,14142.46,0
26,Engineering,24,8,254,3,0.27,0.95,12471.69,1
55,HR,10,13,157,3,0.78,0.77,15437.35,0
27,Marketing,19,6,165,3,0.7,0.74,10368.98,0
43,HR,6,6,242,5,0.4,0.86,11934.9,1
32,Marketing,29,7,166,2,0.74,0.76,11314.3,1
37,Marketing,7,7,152,6,0.86,0.59,11520.99,0
54,HR,15,8,250,3,0.17,0.89,14478.7,1
30,IT,22,7,177,3,0.82,0.78,12745.77,0
27,Engineering,19,5,225,2,0.16,0.93,11889.82,0
37,Marketing,14,9,173,3,0.91,0.87,12606.09,0
50,Marketing,16,2,193,3,0.96,0.74,11192.27,0
24,IT,14,5,201,5,0.73,0.91,11076.92,0
41,Sales,29,10,157,4,0.73,0.58,12700.8,0
57,IT,29,1,131,2,0.71,0.59,13052.65,0
40,IT,25,3,174,2,0.8,0.99,12523.29,0
47,Marketing,20,7,259,2,0.34,1.0,12700.94,1
24,Engineering,2,6,112,5,0.68,0.43,10437.04,0
40,IT,9,2,153,5,0.6,0.37,10627.72,0
41,Sales,3,4,252,6,0.18,0.89,11705.29,1
53,HR,6,1,148,5,0.81,0.33,10840.33,0
28,IT,5,8,182,2,0.9,0.9,13059.94,0
54,IT,14,4,178,6,0.98,0.92,13406.42,0
39,Sales,29,10,218,4,0.33,0.82,12356.95,0
22,Engineering,15,4,251,3,0.15,0.96,10695.43,1
32,IT,18,4,224,3,0.14,0.89,11384.39,1
49,IT,17,4,184,6,0.79,0.83,14185.99,0
46,Engineering,9,4,265,4,0.19,0.86,13212.49,0
44,Sales,19,5,183,3,0.79,0.76,11575.62,0
52,IT,23,13,227,6,0.3,0.94,16252.08,1
51,Engineering,25,4,203,5,0.78,0.99,14204.6,0
56,IT,9,4,146,2,0.88,0.44,14270.16,0
28,HR,28,5,203,4,0.83,0.75,9834.53,0
37,Marketing,16,8,249,3,0.23,0.91,11798.21,1
47,HR,26,1,172,2,0.93,0.9,10762.74,0
23,IT,6,5,250,6,0.29,0.98,11102.8,1
22,Sales,8,3,173,3,0.94,0.86,8823.37,0
33,Marketing,25,7,178,2,0.8,0.74,10576.01,0
26,HR,3,4,270,5,0.36,0.92,9191.07,1
58,Engineering,22,0,158,4,0.9,0.94,13171.94,0
53,Sales,5,6,183,6,0.75,0.54,12222.38,0
30,HR,7,6,255,3,0.21,0.88,10418.69,1
56,Engineering,23,3,135,5,0.72,0.42,13571.86,0
40,IT,25,3,278,4,0.3,0.81,12234.58,1
37,Engineering,1,1,189,4,0.95,0.75,11373.55,0
24,HR,22,6,179,5,0.97,0.9,10378.2,0
41,HR,21,8,270,3,0.26,0.98,12519.94,1
45,IT,4,2,135,4,0.87,0.43,11578.22,0
54,Engineering,26,3,149,6,0.82,0.79,12942.04,0
45,Engineering,28,5,184,2,0.78,0.96,13744.63,0
32,IT,16,12,140,6,0.65,0.4,12940.05,1
29,Engineering,27,7,188,4,0.72,0.78,11742.11,0
57,IT,14,2,155,2,0.67,0.44,13329.11,0
59,Sales,1,6,151,5,0.74,0.56,12158.02,0
41,HR,4,1,212,2,0.9,0.95,11167.95,0
56,Sales,10,7,154,2,0.6,0.42,13361.7,0
46,Marketing,11,10,158,2,0.76,0.46,12406.67,0
56,Marketing,7,10,130,4,0.7,0.46,14404.91,0
46,Marketing,4,7,216,3,0.91,0.96,12172.57,0
50,IT,1,3,213,4,0.75,0.84,13567.97,0
39,Engineering,26,1,133,3,0.67,0.49,10692.55,0
39,Sales,1,1,145,5,0.86,0.43,8147.68,0
23,Sales,17,0,142,5,0.89,0.59,7159.49,0
56,Sales,27,7,150,5,0.63,0.3,12221.75,0
37,Sales,10,5,223,5,0.35,0.8,11197.66,1
57,Marketing,5,8,171,5,0.88,0.78,13427.67,0
54,Sales,7,9,164,6,0.81,0.5,12967.96,0
25,Engineering,25,5,117,4,0.67,0.31,10391.37,1
54,Marketing,8,5,236,3,0.34,0.96,13064.19,0
35,Sales,2,4,273,5,0.24,0.92,10496.74,1
42,IT,9,4,187,6,0.83,0.78,12313.85,0
41,HR,4,7,108,6,0.68,0.46,11591.37,0
29,HR,12,4,214,6,0.13,0.94,9833.21,1
28,HR,26,4,121,4,0.66,0.36,8123.48,0
24,Marketing,11,5,140,5,0.78,0.41,8525.68,0
38,Sales,5,8,240,6,0.23,0.91,12288.28,1
54,Marketing,12,3,141,6,0.86,0.43,11085.59,0
33,Engineering,27,5,209,5,0.72,0.31,10669.99,1
43,IT,21,6,147,4,0.77,0.51,11996.82,0
43,IT,4,8,149,6,0.65,0.38,12879.37,0
51,HR,13,4,127,3,0.66,0.32,11050.0,0
59,HR,22,3,185,2,0.8,0.74,11782.52,0
59,HR,1,4,186,2,0.64,0.3,11610.9,0
29,Sales,18,8,217,2,0.34,0.84,10423.53,1
48,Engineering,4,11,271,4,0.28,0.86,15261.87,1
48,Engineering,4,1,143,6,0.63,0.37,12196.52,1
55,Engineering,8,2,153,2,0.9,0.78,13244.14,0
42,Engineering,25,4,258,2,0.1,0.9,11916.79,1
51,HR,28,5,182,5,0.88,0.84,12448.27,0
54,IT,20,7,239,6,0.27,0.99,15627.07,0
49,HR,6,2,169,6,0.67,0.38,9565.55,0
54,Engineering,4,2,164,5,0.85,0.92,12823.68,0
26,HR,4,5,150,6,0.82,0.54,9312.76,0
40,Engineering,28,4,168,3,0.69,0.5,11654.92,0
25,Marketing,11,7,246,4,0.35,0.91,11015.76,0
56,IT,28,6,140,5,0.91,0.97,14739.69,0
38,Marketing,9,7,249,2,0.33,0.84,12000.75,0
49,Sales,14,5,166,6,0.82,0.96,13083.49,0
51,HR,4,12,281,3,0.16,0.87,14008.59,1
50,Sales,13,2,162,3,0.79,0.75,11479.49,0
27,HR,6,7,166,4,0.74,0.42,9431.08,0
56,Marketing,13,1,213,3,0.99,0.82,10427.04,0
58,Engineering,25,2,180,6,0.73,0.43,12997.29,0
45,Engineering,3,3,156,6,0.72,0.85,12909.65,0
50,HR,23,10,250,3,0.13,0.82,12874.81,1
52,Engineering,7,6,237,6,0.13,0.92,14116.92,1
56,Marketing,1,3,134,6,0.65,0.59,11363.2,0
54,Engineering,11,6,228,2,0.36,0.85,14797.19,0
42,Marketing,2,5,237,5,0.25,0.8,10533.25,0
53,Sales,5,4,191,6,0.9,0.86,12267.27,0
44,Marketing,24,1,191,6,0.74,0.82,9169.29,0
54,IT,22,9,157,4,0.65,0.38,14542.59,0
24,IT,14,6,146,5,0.82,0.98,11731.2,0
39,IT,29,12,164,5,0.64,0.59,13928.73,1
46,HR,13,8,235,5,0.2,0.83,13371.38,1
52,HR,16,7,195,3,0.96,0.79,11573.74,0
24,HR,23,4,218,2,0.84,0.85,9288.41,0
45,Marketing,15,2,194,2,0.92,0.73,11151.46,0
53,HR,3,4,256,4,0.12,0.83,12220.67,1
43,Sales,6,2,159,5,0.91,0.83,11245.4,0
44,IT,9,7,244,5,0.25,0.83,13425.33,1
23,Marketing,3,5,247,6,0.24,0.95,9621.87,1
48,IT,13,4,216,3,0.4,0.94,13991.29,0
23,HR,29,5,174,3,0.95,0.82,9896.19,0
47,Marketing,13,3,173,4,0.82,0.95,12707.07,0
38,Engineering,22,4,193,2,0.8,0.9,12344.18,0
54,Sales,7,3,182,5,0.71,0.47,11346.36,0
30,HR,5,0,170,4,0.7,0.33,7419.62,0
50,HR,26,5,223,3,0.2,0.88,12154.55,1
47,Sales,29,5,281,3,0.18,0.87,12476.25,1
56,Sales,8,8,137,3,0.75,0.58,13166.01,0
46,Engineering,8,7,195,5,0.71,0.85,13498.2,1
45,HR,22,7,153,5,0.61,0.47,11356.07,0
34,HR,7,2,254,5,0.36,0.85,9651.61,1
28,IT,19,6,252,6,0.3,0.89,11504.36,0
57,Marketing,29,10,240,2,0.11,0.98,14439.07,1
41,Marketing,7,6,149,3,0.81,0.44,10289.21,0
22,IT,23,4,182,3,0.74,0.76,10217.26,0
29,Marketing,4,11,166,6,0.89,0.85,12486.55,0
37,Sales,10,4,165,3,0.95,0.96,10840.8,0
35,Marketing,13,3,184,3,0.77,0.49,10620.11,0
33,Marketing,4,3,157,5,0.71,0.58,8968.33,0
44,IT,19,0,233,5,0.1,0.98,12112.61,1
36,Engineering,10,3,157,2,0.73,0.73,11568.03,1
49,Marketing,7,9,150,3,0.76,0.88,13676.29,0
55,Marketing,5,0,269,4,0.23,0.81,10810.64,1
23,Engineering,3,2,138,3,0.81,0.52,9250.69,0
53,IT,22,5,144,3,0.81,0.39,13290.21,0
44,Engineering,28,2,170,2,0.95,0.99,12235.95,0
43,IT,22,3,171,4,0.85,0.7,11219.09,0
46,Sales,22,3,133,3,0.77,0.32,10800.28,0
43,IT,2,4,151,4,0.88,0.41,12263.1,0
43,Sales,29,3,251,5,0.33,0.92,10834.12,1
27,Sales,11,3,267,5,0.29,0.93,9564.36,1
36,IT,10,8,291,4,0.4,0.95,13896.33,1
58,HR,28,8,294,3,0.33,0.97,14821.1,1
54,IT,23,1,125,4,0.95,0.83,12918.4,0
29,Marketing,13,0,182,4,0.87,0.86,8323.56,0
26,Marketing,7,8,241,5,0.35,0.83,11395.13,1
25,HR,10,1,178,4,0.88,0.88,8603.53,0
27,Sales,28,6,255,6,0.17,0.83,10094.93,1
53,HR,4,0,136,6,0.8,0.48,10397.27,0
51,Marketing,27,9,254,5,0.37,0.88,14133.07,1
56,HR,22,13,170,3,0.69,0.44,14358.02,1
37,IT,20,6,243,3,0.38,0.86,13214.38,1
34,HR,16,5,117,5,0.86,0.53,9864.64,0
51,Sales,20,4,161,3,0.85,0.3,11207.72,0
40,IT,6,7,202,2,0.87,0.8,12729.48,0
38,Engineering,9,7,222,6,0.36,0.92,13778.48,0
40,Marketing,28,8,194,2,0.36,0.85,11767.82,0
49,Marketing,13,3,271,2,0.1,0.91,11852.37,1
47,HR,7,6,189,2,0.9,0.88,11511.86,0
58,IT,18,3,282,5,0.12,0.82,13858.99,1
47,Engineering,14,2,177,2,0.88,0.78,12459.05,0
44,IT,22,5,134,4,0.77,0.4,11856.58,0
30,Marketing,5,2,173,3,0.82,0.49,8531.38,0
33,IT,22,9,134,5,0.79,0.49,12613.52,0
22,Engineering,13,2,231,4,0.27,0.8,10186.19,0
22,HR,24,4,279,4,0.38,0.96,9377.27,1
55,Sales,8,3,138,6,0.78,0.38,11817.53,0
53,IT,15,6,127,6,0.74,0.39,13956.77,0
46,Sales,19,3,285,4,0.25,0.83,11150.84,0
22,Marketing,9,1,253,6,0.23,0.93,7686.85,1
37,HR,6,6,178,3,0.8,0.79,10837.16,0
26,HR,23,4,304,3,0.27,0.86,8400.1,1
43,IT,25,6,154,6,0.81,0.73,12958.77,0
50,HR,14,4,197,2,0.96,0.85,12591.87,0
24,IT,29,1,271,4,0.19,0.9,10402.56,1
33,IT,23,8,209,3,0.13,1.0,13240.55,0
47,Sales,10,7,231,6,0.23,0.87,12175.56,0
37,HR,9,3,207,6,0.95,0.84,10333.71,0
58,IT,17,5,189,3,0.92,0.73,15330.09,0
43,Sales,13,8,193,3,0.76,0.74,12931.02,0
50,Engineering,17,4,174,2,0.79,0.99,13610.49,0
35,Sales,19,4,146,6,0.71,0.82,9597.36,1
49,Sales,13,6,276,6,0.27,0.99,13785.3,1
26,IT,9,4,251,5,0.26,0.81,10551.89,0
51,Marketing,1,8,165,2,0.79,0.87,13510.37,0
26,Marketing,1,4,236,3,0.16,0.98,8989.64,0
33,Marketing,5,3,252,3,0.36,0.95,9948.41,1
37,Sales,8,7,130,4,0.84,0.78,10570.65,0
47,IT,18,2,140,3,0.75,0.31,10837.36,0
47,HR,4,11,210,6,0.86,0.81,13159.64,0
42,Sales,22,10,195,3,0.92,0.94,13309.01,0
57,Sales,1,7,268,6,0.16,0.87,13487.14,1
54,IT,15,6,164,6,0.84,0.8,15654.61,0
51,Engineering,20,6,273,2,0.14,0.88,14726.51,1
58,Sales,4,4,126,3,0.89,0.37,12313.27,0
44,Engineering,25,6,189,2,0.62,0.45,12844.56,0
31,Engineering,9,2,242,6,0.31,0.9,11143.31,1
26,Marketing,22,7,163,3,0.63,0.58,10456.47,0
57,IT,24,8,237,3,0.21,0.92,14239.95,0
55,Engineering,28,4,171,2,0.81,0.34,12570.15,0
52,IT,26,3,138,2,0.69,0.34,11606.58,0
31,Marketing,20,1,192,6,0.92,0.98,8423.83,0
40,IT,10,9,140,6,0.86,0.86,13539.67,0
53,Sales,24,3,241,3,0.24,0.92,11467.23,1
22,Engineering,15,4,191,3,0.9,0.58,10659.76,0
26,IT,3,6,141,5,0.87,0.42,10781.59,0
25,HR,2,6,281,5,0.39,0.88,9061.33,1
37,IT,22,7,195,4,0.99,0.77,13003.79,0
45,Engineering,5,4,197,6,0.92,0.86,12406.39,0
37,Marketing,24,2,235,4,0.27,0.93,10195.54,0
23,Marketing,1,1,122,4,0.7,0.44,7685.63,0
49,Engineering,11,3,284,2,0.16,0.99,12909.42,1
53,Sales,12,2,144,2,0.85,0.92,11849.03,0
48,Sales,26,4,228,5,0.22,0.88,11964.72,1
41,Marketing,3,9,157,4,0.86,0.86,12443.95,0
45,Marketing,23,4,179,5,0.85,0.75,10841.65,0
33,Engineering,29,4,182,6,0.64,0.58,11161.16,0
56,Sales,16,5,171,3,0.72,0.57,12175.65,0
54,Marketing,26,4,188,2,0.89,0.93,12619.76,0
54,Sales,14,5,147,6,0.85,0.56,11880.48,0
58,Marketing,12,7,230,6,0.15,0.85,13012.38,1
33,IT,20,8,131,2,0.86,0.31,11734.63,0
24,HR,26,6,167,2,0.72,0.78,9927.69,0
22,IT,16,4,166,4,0.94,0.87,10730.44,0
54,Marketing,21,7,161,5,0.7,0.83,13102.13,0
31,HR,8,12,175,6,0.9,0.91,12277.95,0
50,HR,17,3,188,4,0.92,0.92,11467.91,0
34,Marketing,17,11,188,4,0.73,0.92,12326.0,0
33,Marketing,28,4,262,6,0.39,0.94,10909.5,1
52,Sales,7,4,152,6,0.73,0.48,10885.65,1
23,Marketing,15,5,180,3,0.84,0.98,9805.2,0
56,Engineering,29,4,163,5,0.91,0.94,13546.14,0
44,Marketing,28,5,173,6,0.87,0.97,12227.72,0
38,Engineering,9,3,248,2,0.2,0.91,11746.68,1
47,Marketing,4,7,197,3,0.97,0.95,12295.13,0
29,Sales,8,3,228,5,0.78,0.97,9847.4,0
50,Engineering,10,7,244,2,0.38,0.88,13130.67,1
47,IT,15,10,167,2,0.82,0.44,13435.83,0
31,Engineering,23,4,283,5,0.14,0.99,11951.63,1
47,Sales,18,7,143,3,0.71,0.31,11918.63,0
55,Engineering,14,7,228,2,0.13,0.9,15123.96,1
28,Marketing,5,10,174,4,0.81,0.51,10888.9,0
25,Marketing,9,3,149,5,0.81,0.45,9500.71,0
32,Sales,13,7,197,5,0.84,0.76,11065.33,0
50,HR,29,0,153,6,0.79,0.71,9903.14,0
57,Marketing,25,4,194,3,0.79,0.93,13274.82,0
46,IT,19,6,259,4,0.2,0.85,13276.36,1
42,Sales,11,9,238,4,0.14,0.89,12327.38,1
57,Engineering,12,1,202,6,0.85,0.91,12621.97,0
31,Engineering,3,7,259,2,0.11,0.86,12212.87,1
58,IT,2,5,159,2,0.78,0.74,13672.86,0
30,Marketing,23,0,157,4,0.86,0.9,9076.93,0
45,Sales,22,6,124,3,0.71,0.52,11268.97,0
56,IT,15,10,160,2,0.86,0.71,14833.75,0
56,Marketing,5,2,251,5,0.12,0.88,11926.67,1
57,Sales,7,5,153,6,0.63,0.55,12804.71,0
39,Engineering,4,2,172,3,0.92,0.88,12577.7,0
53,Sales,5,4,174,2,0.67,0.45,10512.41,0
45,HR,25,9,192,4,0.86,0.86,12533.82,0
44,Sales,16,4,251,6,0.37,0.98,10905.61,0
53,HR,15,9,144,2,0.84,0.58,13342.83,0
58,Sales,27,8,140,4,0.75,0.55,12603.47,0
33,HR,16,4,171,2,0.85,0.92,10878.44,0
34,Engineering,25,3,237,6,0.32,0.83,12067.74,0
44,Marketing,4,2,176,5,0.71,0.38,10167.98,0
46,HR,6,2,160,5,0.81,0.87,10574.51,0
56,HR,18,6,279,4,0.13,0.96,12994.85,1
51,Engineering,3,5,154,5,0.92,0.76,13397.47,0
38,HR,25,3,124,6,0.87,0.48,10222.27,0
41,IT,22,0,174,4,0.98,0.93,10604.02,0
46,Engineering,24,5,191,2,0.76,0.8,13395.69,0
43,IT,27,4,268,3,0.33,0.89,12309.76,1
34,Engineering,5,4,161,2,0.81,0.42,10722.19,0
40,HR,2,6,155,6,0.99,0.79,11754.43,0
57,IT,23,0,174,4,0.74,0.5,11446.68,0
33,HR,16,0,182,2,0.93,0.72,8596.11,0
40,Engineering,6,12,157,4,0.9,0.53,14087.02,0
33,HR,27,3,268,5,0.36,0.82,9826.26,0
30,IT,15,0,160,3,0.7,0.56,9574.26,1
28,IT,18,1,189,6,0.75,0.96,10790.94,0
49,HR,6,12,144,2,0.81,0.46,13186.05,0
35,Sales,13,3,204,3,0.76,0.79,10153.6,0
52,Engineering,24,8,191,6,0.85,0.86,14983.72,0
40,Engineering,13,5,161,6,0.77,0.53,12211.51,0
37,HR,1,4,266,5,0.16,0.81,10783.95,1
26,Sales,16,7,158,4,0.82,0.96,10766.83,0
56,IT,4,0,163,4,0.69,0.3,11662.29,0
